Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Vby4nGmtbDo7HDJamOWkT,"Stuck In The Middle With You","Stealers Wheel","Stealers Wheel",1972-01-01,208946,76,false,salvojoys,2024-08-06T15:08:02Z,"","UMC (Universal Music Catalogue)",0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,4
spotify:track:2JvClsYrYfLz76Td6J9MPa,"Surfin' U.S.A. - Remastered 2001","10 Great Songs","The Beach Boys",2012-01-01,148973,33,false,salvojoys,2024-08-06T15:08:35Z,"pop barocco","Capitol Records",0.546,0.878,3,-4.526,1,0.0377,0.677,0,0.127,0.964,159.105,4
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"Fortunate Son","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,140773,83,false,salvojoys,2024-08-06T15:08:27Z,"rock classico,southern rock,country rock","Craft Recordings",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
spotify:track:5uvosCdMlFdTXhoazkTI5R,"Light My Fire","The Doors","The Doors",1967-01-04,429760,71,false,salvojoys,2024-08-06T15:10:33Z,"rock psichedelico,rock classico,acid rock","Rhino/Elektra",0.413,0.725,3,-5.787,0,0.0324,0.369,0.0000216,0.0905,0.44,124.618,4
spotify:track:1Jmqubf9kGkWeYQXQKImL5,"People Are Strange","Strange Days","The Doors",1967-09-25,130173,72,false,salvojoys,2024-08-06T15:10:02Z,"rock psichedelico,rock classico,acid rock","Rhino/Elektra",0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,4
spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,80,false,salvojoys,2024-08-06T15:10:23Z,"folk rock","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Ain't No Mountain High Enough","United","Marvin Gaye;Tammi Terrell",1967-08-29,151666,84,false,salvojoys,2024-08-06T15:10:52Z,"motown,soul classico,soul,northern soul,quiet storm","UNI/MOTOWN",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.797,129.987,4
spotify:track:4fQMGlCawbTkH9yPPZ49kP,"Green Onions","Green Onions","Booker T. & the M.G.'s",1962,176333,72,false,salvojoys,2024-08-06T15:11:20Z,"","Rhino Atlantic",0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,4
spotify:track:2LawezPeJhN4AWuSB0GtAU,"Have You Ever Seen The Rain","Pendulum (Expanded Edition)","Creedence Clearwater Revival",1970-12-07,160133,87,false,salvojoys,2024-08-06T15:11:32Z,"rock classico,southern rock,country rock","Craft Recordings",0.741,0.697,0,-7.028,1,0.0277,0.0664,0.0000228,0.133,0.774,116.109,4
spotify:track:48i055G1OT5KxGGftwFxWy,"Oh, Pretty Woman","Oh, Pretty Woman","Roy Orbison",1962,178929,74,false,salvojoys,2024-08-06T15:12:14Z,"rockabilly","Monument/Orbison Records/Legacy",0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,4
spotify:track:40riOy7x9W7GXjyGp4pjAv,"Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,86,false,salvojoys,2024-08-06T15:12:19Z,"rock classico,yacht rock,soft rock","Rhino/Elektra",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
spotify:track:2PzU4IB8Dr6mxV3lHuaG34,"(I Can't Get No) Satisfaction - Mono","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,76,false,salvojoys,2024-08-06T15:12:52Z,"rock classico,rock","ABKCO Music and Records, Inc.",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
spotify:track:5uuJruktM9fMdN9Va0DUMl,"Play That Funky Music","Wild Cherry","Wild Cherry",1976,300000,74,false,salvojoys,2024-08-06T15:13:10Z,"funk rock","Epic",0.814,0.672,9,-12.068,1,0.0619,0.0435,0,0.061,0.933,109.394,4
spotify:track:7BY005dacJkbO6EPiOh2wb,"House Of The Rising Sun","The Animals","The Animals",1964-01-01,271280,74,false,salvojoys,2024-08-06T15:13:31Z,"rock classico","ABKCO Music & Records, Inc.",0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,3
spotify:track:4HpaXUMqrz1cFaOeEizumw,"San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version","On Your 60's Radio","Scott McKenzie",2002-02-21,176373,39,false,salvojoys,2024-08-06T15:14:07Z,"","Columbia",0.506,0.553,7,-10.132,1,0.0298,0.32,0.000077,0.152,0.428,112.735,4
spotify:track:0B9sqt7YauXB73705BNaSG,"Like a Rolling Stone","The Essential Bob Dylan","Bob Dylan",2014-03-25,368186,35,false,salvojoys,2024-08-06T15:18:00Z,"folk rock,folk,cantautorato,roots rock","Columbia",0.485,0.688,0,-7.621,1,0.0325,0.734,0,0.225,0.521,95.677,4
spotify:track:4e0GkgtMPZFt41Ua8PlHQL,"Soul Sacrifice","Santana (Legacy Edition)","Santana",1969,397333,49,false,salvojoys,2024-08-06T15:21:51Z,"","Columbia/Legacy",0.494,0.706,7,-14.34,1,0.0485,0.522,0.894,0.154,0.486,135.752,4
spotify:track:3V3MQOlQqq8SZ7BcoN4QCn,"Piece of My Heart","Flash Back Internacional","Janis Joplin",2018-04-27,266240,0,false,salvojoys,2024-08-06T15:23:12Z,"rock classico,rock psichedelico,acid rock","Sony Music Entertainment",0.43,0.665,4,-9.681,1,0.139,0.406,0.000108,0.409,0.542,160.859,4
spotify:track:0YZ3J8xzGwLOg4yEgST1YK,"With A Little Help From My Friends","With A Little Help From My Friends","Joe Cocker",1969-05-01,312173,65,false,salvojoys,2024-08-06T15:24:33Z,"","A&M",0.307,0.43,2,-11.333,1,0.0629,0.288,0.000994,0.0988,0.305,145.224,3
spotify:track:2aoo2jlRnM3A0NyLQqMN2f,"All Along the Watchtower","Electric Ladyland","Jimi Hendrix",1968-10-25,240800,74,false,salvojoys,2024-08-06T15:28:00Z,"rock psichedelico,rock classico,acid rock,blues rock","Legacy Recordings",0.438,0.805,8,-6.237,1,0.0624,0.00255,0.0000569,0.0842,0.564,113.253,4
spotify:track:3zJRvtQkHQRTNEXSY8jQPR,"Breathe (In The Air) - 2011 Remastered Version","The Dark Side Of The Moon (2011 Remastered Version)","Pink Floyd",1973-03-01,169560,1,false,salvojoys,2024-08-06T15:29:39Z,"rock progressivo,rock psichedelico,rock classico,art rock,rock","Pink Floyd Records",0.429,0.343,11,-16.637,0,0.0339,0.265,0.184,0.157,0.313,128.455,4
spotify:track:4xHWH1jwV5j4mBYRhxPbwZ,"Time - 2011 Remastered Version","The Dark Side Of The Moon (2011 Remastered Version)","Pink Floyd",1973-03-01,422853,1,false,salvojoys,2024-08-06T15:29:59Z,"rock progressivo,rock psichedelico,rock classico,art rock,rock","Pink Floyd Records",0.355,0.447,9,-13.631,1,0.0894,0.453,0.00225,0.163,0.369,122.473,4
spotify:track:2sevvnMrqH607r5lwk3kFT,"Is This Love","Legend - The Best Of Bob Marley And The Wailers","Bob Marley & The Wailers",2002-01-01,230733,66,false,salvojoys,2024-08-06T15:36:41Z,"reggae,roots reggae","UMC (Universal Music Catalogue)",0.775,0.559,6,-8.377,0,0.088,0.108,0,0.0945,0.804,122.238,4
spotify:track:12yHvSYFXI7PGzNecUvIDu,"Saturday Night’s Alright (For Fighting) - Remastered 2014","Goodbye Yellow Brick Road (Remastered)","Elton John",1973-10-05,295466,67,false,salvojoys,2024-08-06T15:38:26Z,"","UMC (Universal Music Catalogue)",0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875,4
spotify:track:1HOMkjp0nHMaTnfAkslCQj,"My Sharona","Get The Knack","The Knack",1979-01-01,295400,71,false,salvojoys,2024-08-06T15:39:40Z,"power pop","Capitol Records",0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,4
spotify:track:2ZOTtG7v1OrSNs6EINIGb4,"Black Betty","The Very Best Of Ram Jam","Ram Jam",1990-02-27,237893,65,false,salvojoys,2024-08-06T15:51:07Z,"southern rock","Epic/Legacy",0.465,0.865,11,-9.573,0,0.098,0.018,0.00135,0.0769,0.677,117.528,4
spotify:track:4nXkbcTj3nyww1cHkw5RAP,"Long Train Runnin'","The Captain and Me","The Doobie Brothers",1973,207266,75,false,salvojoys,2024-08-06T15:51:34Z,"yacht rock,rock classico,soft rock,southern rock","Warner Records",0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4
spotify:track:0lIoY4ZQsdn5QzhraM9o9u,"Because the Night","Easter","Patti Smith",1978,204800,69,false,salvojoys,2024-08-06T15:52:08Z,"proto-punk","Arista",0.466,0.763,11,-7.748,0,0.0391,0.0542,0,0.119,0.473,123.539,4
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"The Passenger","Lust For Life","Iggy Pop",1977-08-29,283360,73,false,salvojoys,2024-08-06T15:52:29Z,"proto-punk,glam rock","Virgin Catalog",0.498,0.889,0,-5.413,1,0.0544,0.0937,0.00000162,0.734,0.696,134.882,4
spotify:track:4aVuWgvD0X63hcOCnZtNFA,"Hold the Line","Toto","TOTO",1978-10-10,235552,83,false,salvojoys,2024-08-06T15:53:18Z,"yacht rock,soft rock","Columbia",0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,4
